region_id,region_name,percentage_population_in_detached_houses,population,population_per_km2,percentage_detached_houses,percentage_flats_3to4_rooms,municipality_type,permanent_resident_population,swiss_citizen,foreign_citizen,age_0to14,age_15to19,age_20to39,age_40to59,age_60to64,age_65tomore,men,women,district_number,district_name,kanton_number,kanton_short,kanton_name,taxable_income_in_mio_CHF,taxable_income_per_taxable_person_in_chf,share_electric_cars,share_pv,share_renewable_heating,Heating data coverage,mean_electricity_tarif_2021_rp_per_kwh
1,Aeugst am Albis,49.55533597,1981,250.4424779,69.56521739,41.90064795,Periurbane Gemeinde geringer Dichte (23),1981,1728,253,309,123,391,709,129,320,987,994,101,Affoltern,1,ZH,Zürich,94.4072,105013.5706,0.02731,0.07149,0.6129,0.9928,15.48666667
10,Obfelden,42.61662575,5721,758.7533156,72.78431373,52.32419547,Periurbane Gemeinde mittlerer Dichte (22),5009,4026,983,883,283,1157,1560,307,819,2501,2508,101,Affoltern,1,ZH,Zürich,158.0976,75105.74822,0.01728,0.0428,0.4325,0.7072,15.48666667
100,Stadel,36.83753258,2293,177.8898371,58.33333333,45.51282051,Periurbane Gemeinde mittlerer Dichte (22),2205,1905,300,345,130,517,737,141,335,1098,1107,104,Dielsdorf,1,ZH,Zürich,74.0686,73920.75848,0.01727,0.0239,0.4191,0.9885,15.48666667
1001,Doppleschwand,31.63265306,789,113.5251799,42.64705882,40.90909091,Ländliche zentral gelegene Gemeinde (32),750,714,36,164,54,187,206,31,108,393,357,316,Entlebuch,3,LU,Luzern,13.1697,53318.62348,0.0019,0.0729,0.5942,0.9615,15.36733333
1002,Entlebuch,23.52404139,3280,57.64499121,36.80089485,48.75531269,Ländliche zentral gelegene Gemeinde (32),3349,3106,243,543,219,898,906,199,584,1733,1616,316,Entlebuch,3,LU,Luzern,72.66,55170.84282,0.00482,0.08571,0.6174,0.6046,15.36733333
1004,Flühli,21.16788321,1929,17.83304058,41.72297297,50.41171089,Ländliche periphere Gemeinde (33),1882,1548,334,258,158,564,500,90,312,975,907,316,Entlebuch,3,LU,Luzern,33.9747,46350.20464,0.00694,0.02562,0.3833,0.9898,15.36733333
1005,Hasle (LU),31.242741,1736,43.06623667,40.85603113,47.32254047,Ländliche zentral gelegene Gemeinde (32),1748,1649,99,285,159,404,521,73,306,913,835,316,Entlebuch,3,LU,Luzern,31.4507,49842.63074,0.00079,0.07665,0.58,0.9748,15.36733333
1008,Schüpfheim,29.303087,4206,109.5883273,44.9905482,47.22502523,Ländliche Zentrumsgemeinde (31),4154,3813,341,692,298,1059,1166,216,723,2051,2103,316,Entlebuch,3,LU,Luzern,88.8883,55382.11838,0.00591,0.07696,0.5726,0.983,15.36733333
1009,Werthenstein,29.37905468,2180,137.9746835,43.48739496,51.31717597,Ländliche zentral gelegene Gemeinde (32),2044,1763,281,352,146,534,580,112,320,1042,1002,316,Entlebuch,3,LU,Luzern,39.6859,52633.81963,0.00505,0.07205,0.6356,0.9627,15.36733333
101,Steinmaur,29.1712404,3609,384.3450479,60.14705882,54.15647922,Periurbane Gemeinde hoher Dichte (21),3395,2587,808,491,154,956,1023,180,591,1735,1660,104,Dielsdorf,1,ZH,Zürich,117.4094,76289.40871,0.01177,0.0858,0.4345,0.8534,15.48666667
