Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;1;ZH;679434.9629;235653.3469;de
Affoltern am Albis;2;ZH;675103.6896;237890.633;de
Bonstetten;3;ZH;677797.7252;241025.0461;de
Hausen am Albis;4;ZH;682995.51;232961.7598;de
Hedingen;5;ZH;676517.6762;239054.4666;de
Kappel am Albis;6;ZH;682260.762;231284.5494;de
Knonau;7;ZH;677401.729;230822.0352;de
Maschwanden;8;ZH;674784.8413;232061.2301;de
Mettmenstetten;9;ZH;677612.9117;232937.9153;de
Obfelden;10;ZH;674500.7444;235213.822;de
Ottenbach;11;ZH;673059.3588;237324.5279;de
Rifferswil;12;ZH;680091.9211;233046.2809;de
Stallikon;13;ZH;679550.3269;242199.5132;de
Wettswil am Albis;14;ZH;678320.4452;243534.75;de
Adlikon;21;ZH;694309.8774;271013.0458;de
Benken (ZH);22;ZH;691309.3673;278717.2954;de
Berg am Irchel;23;ZH;687248.1045;269506.1995;de
Buch am Irchel;24;ZH;689122.3744;267148.0498;de
Dachsen;25;ZH;688269.004;280253.8432;de
Dorf;26;ZH;690994.7801;269698.929;de
Feuerthalen;27;ZH;690269.5821;282950.4891;de
Flaach;28;ZH;687596.629;269830.7703;de
Flurlingen;29;ZH;689291.8616;282181.8702;de
Andelfingen;30;ZH;693251.6626;272313.6607;de
Henggart;31;ZH;693668.9628;268741.925;de
Humlikon;32;ZH;692612.5045;270162.5331;de
Kleinandelfingen;33;ZH;693579.6746;272835.537;de
Laufen-Uhwiesen;34;ZH;687812.0956;280577.5382;de
Marthalen;35;ZH;690935.1122;275649.6278;de
Ossingen;37;ZH;696776.3869;274089.4742;de
Rheinau;38;ZH;687520.0846;277681.7383;de
Thalheim an der Thur;39;ZH;698982.9979;270637.8404;de
Trüllikon;40;ZH;692788.26;277363.9601;de
Truttikon;41;ZH;696796.652;276290.4446;de
Volken;43;ZH;689564.8625;269805.2198;de
Bachenbülach;51;ZH;683461.216;262012.9504;de
Bassersdorf;52;ZH;689694.065;255514.679;de
Bülach;53;ZH;683020.7548;263508.1055;de
Dietlikon;54;ZH;688816.0783;253413.1574;de
Eglisau;55;ZH;681814.5327;269952.9816;de
Embrach;56;ZH;687140.4224;261805.8092;de
Freienstein-Teufen;57;ZH;686760.4141;265290.3539;de
Glattfelden;58;ZH;679800.8234;268105.0003;de
Hochfelden;59;ZH;681098.606;264180.5599;de
Höri;60;ZH;680593.4209;262401.7835;de
Hüntwangen;61;ZH;679292.347;272172.535;de
Kloten;62;ZH;686402.3713;256379.9484;de
Lufingen;63;ZH;687041.3937;260600.2513;de
Nürensdorf;64;ZH;691299.2679;255947.0334;de
Oberembrach;65;ZH;688836.8609;260294.1529;de
Opfikon;66;ZH;685212.062;254283.9574;de
Rafz;67;ZH;682426.9654;274321.663;de
Rorbas;68;ZH;685807.4371;264872.2211;de
Wallisellen;69;ZH;687027.3673;251957.4734;de
Wasterkingen;70;ZH;677773.2006;271560.4307;de
Wil (ZH);71;ZH;680077.0661;272987.5148;de
Winkel;72;ZH;684084.9586;260790.998;de
Bachs;81;ZH;675342.6901;264293.4648;de
Boppelsen;82;ZH;672670.316;258197.1326;de
Buchs (ZH);83;ZH;675365.4321;256927.3666;de
Dällikon;84;ZH;675487.1071;254829.6043;de
Dänikon;85;ZH;672915.9619;255465.7911;de
Dielsdorf;86;ZH;676492.2751;259763.9786;de
Hüttikon;87;ZH;671540.3755;255465.1508;de
Neerach;88;ZH;678029.3739;263041.4221;de
Niederglatt;89;ZH;680252.5989;260177.6207;de
Niederhasli;90;ZH;678775.3077;259586.3694;de
Niederweningen;91;ZH;670092.1268;261902.8831;de
Oberglatt;92;ZH;681566.1696;258991.1267;de
Oberweningen;93;ZH;672984.1339;261896.9079;de
