,region_name,district_name,kanton_name
0,Stetten (SH),Reiat,Schaffhausen
1,Crissier,Ouest lausannois,Vaud
2,Le Mont-sur-Lausanne,Lausanne,Vaud
3,Sainte-Croix,Jura-Nord vaudois,Vaud
4,Bauma,Pfäffikon,Zürich
5,Turgi,Baden,Aargau
6,Felben-Wellhausen,Frauenfeld,Thurgau
7,Prilly,Ouest lausannois,Vaud
8,Oberhallau,Unterklettgau,Schaffhausen
9,Onnens (VD),Jura-Nord vaudois,Vaud
10,Utzenstorf,Emmental,Bern / Berne
11,Bovernier,Martigny,Valais / Wallis
12,Fläsch,Landquart,Graubünden / Grigioni / Grischun
13,Onsernone,Locarno,Ticino
14,Vallon,La Broye,Fribourg / Freiburg
15,Hausen (AG),Brugg,Aargau
16,Kaltbrunn,See-Gaster,St. Gallen
17,Lax,Goms,Valais / Wallis
18,Kernenried,Emmental,Bern / Berne
19,Savièse,Sion,Valais / Wallis
20,Milvignes,Boudry,Neuchâtel
21,Amlikon-Bissegg,Weinfelden,Thurgau
22,Radelfingen,Seeland,Bern / Berne
23,Finsterhennen,Seeland,Bern / Berne
24,Seltisberg,Liestal,Basel-Landschaft
25,Borex,Nyon,Vaud
26,Zweisimmen,Obersimmental-Saanen,Bern / Berne
27,San Vittore,Moesa,Graubünden / Grigioni / Grischun
28,Cama,Moesa,Graubünden / Grigioni / Grischun
29,Le Chenit,Jura-Nord vaudois,Vaud
30,Duggingen,Laufen,Basel-Landschaft
31,Schänis,See-Gaster,St. Gallen
32,Grandval,Jura bernois,Bern / Berne
33,Bettlach,Lebern,Solothurn
34,Vevey,Riviera-Pays-d'Enhaut,Vaud
35,Dallenwil,Kanton Nidwalden,Nidwalden
36,Magden,Rheinfelden,Aargau
37,Beatenberg,Interlaken-Oberhasli,Bern / Berne
38,Reinach (BL),Arlesheim,Basel-Landschaft
39,Le Noirmont,Les Franches-Montagnes,Jura
40,Kriechenwil,Appenzell Ausserrhoden,Bern / Berne
41,Emmetten,Kanton Nidwalden,Nidwalden
42,Schlierbach,Sursee,Luzern
43,Sarnen,Kanton Obwalden,Obwalden
44,Böttstein,Zurzach,Aargau
45,Krattigen,Frutigen-Niedersimmental,Bern / Berne
46,Wintersingen,Sissach,Basel-Landschaft
47,Bremgarten (AG),Bremgarten,Aargau
48,Sils im Domleschg,Hinterrhein,Graubünden / Grigioni / Grischun
49,Vechigen,Appenzell Ausserrhoden,Bern / Berne
50,Leuggern,Zurzach,Aargau
51,Cugy (VD),Gros-de-Vaud,Vaud
52,Schneisingen,Zurzach,Aargau
53,Le Mouret,La Sarine,Fribourg / Freiburg
54,Oberkulm,Kulm,Aargau
55,Pfyn,Frauenfeld,Thurgau
56,Maggia,Vallemaggia,Ticino
57,Sachseln,Kanton Obwalden,Obwalden
58,Chavannes-des-Bois,Nyon,Vaud
59,Hägendorf,Olten,Solothurn
60,Egerkingen,Gäu,Solothurn
61,Hellikon,Rheinfelden,Aargau
62,Etagnières,Gros-de-Vaud,Vaud
63,Sant'Antonino,Bellinzona,Ticino
64,Effingen,Brugg,Aargau
65,Champvent,Jura-Nord vaudois,Vaud
66,Einsiedeln,Einsiedeln,Schwyz
67,Thal,Rorschach,St. Gallen
68,Castel San Pietro,Mendrisio,Ticino
69,Bettmeralp,Raron,Valais / Wallis
70,Wollerau,Höfe,Schwyz
71,Cham,Kanton Zug,Zug
72,Doppleschwand,Entlebuch,Luzern
73,Vaulruz,La Gruyère,Fribourg / Freiburg
74,Neuenegg,Appenzell Ausserrhoden,Bern / Berne
75,Bolken,Wasseramt,Solothurn
76,Vérossaz,Saint-Maurice,Valais / Wallis
77,Greng,See / Lac,Fribourg / Freiburg
78,Collonge-Bellerive,Canton de Genève,Genève
79,Capriasca,Lugano,Ticino
80,Turtmann-Unterems,Leuk,Valais / Wallis
81,Pratteln,Liestal,Basel-Landschaft
82,Grens,Nyon,Vaud
83,Wiler bei Utzenstorf,Emmental,Bern / Berne
84,Chavannes-près-Renens,Ouest lausannois,Vaud
85,Morlon,La Gruyère,Fribourg / Freiburg
86,Volken,Andelfingen,Zürich
87,Wittenbach,St. Gallen,St. Gallen
88,Torricella-Taverne,Lugano,Ticino
89,Dürrenroth,Emmental,Bern / Berne
90,Montpreveyres,Lavaux-Oron,Vaud
91,Beggingen,Schleitheim,Schaffhausen
92,Rüfenach,Brugg,Aargau
93,Därstetten,Frutigen-Niedersimmental,Bern / Berne
94,Mörschwil,Rorschach,St. Gallen
95,Seedorf (BE),Seeland,Bern / Berne
96,Brüttelen,Seeland,Bern / Berne
97,Longirod,Nyon,Vaud
98,Lotzwil,Oberaargau,Bern / Berne
99,Uttwil,Arbon,Thurgau
100,Hüttwilen,Frauenfeld,Thurgau
101,Leuzigen,Seeland,Bern / Berne
102,Mosnang,Toggenburg,St. Gallen
103,Niederdorf,Waldenburg,Basel-Landschaft
104,Solothurn,Solothurn,Solothurn
105,Nottwil,Sursee,Luzern
106,Châtel-Saint-Denis,La Veveyse,Fribourg / Freiburg
107,Croy,Jura-Nord vaudois,Vaud
108,Hagenbuch,Winterthur,Zürich
109,Poliez-Pittet,Gros-de-Vaud,Vaud
110,Cheseaux-sur-Lausanne,Lausanne,Vaud
111,Dozwil,Arbon,Thurgau
112,Etziken,Wasseramt,Solothurn
113,Rekingen (AG),Zurzach,Aargau
