,desc
0,"- swisscharge.ch AG, Im Bindersgarten 3
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Feb-2020"
2660,"- Thomas Gsell, Hauptstrasse 21, th.gsell@gmail.com, +49-179-459-94-60
- 1x Steckdose CEE rot 400V/16A (16A, 3-ph), 1x Steckdose CH Typ 13 (8A) / Freier Zugang / Ausschliesslich nach vorheriger Anmeldung! / Stromkosten: Kostenlos / Standort: 200m zum Bah"
2661,"- Alpiq E-Mobility AG, Bahnhofstrasse 3
- 1x Kabel mit Stecker - CCS Typ2 (20kW), 1x Kabel mit Stecker - CHAdeMO (20kW), 1x Steckdose Typ2 (32A, 3-ph) / Zugang: EnBW, MAINGAU Autostrom, easy4you app / ZeitbeschrÃ¤nkung: 2 h / Standort: Auf dem Parkplatz
"
2662,"- Migros TÃ¤gerwilen, Hauptstrasse, Migros TÃ¤gerwilen, 117
- 1x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph), 1x Kabel mit Stecker - Typ1 (16A) / Zugang: SMS sonstige, RFID Lokal
Eintrag/Korrektur: 03-Aug-2018"
2663,"- Alpiq E-Mobility AG, Stationsstrasse 2
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: MAINGAU Autostrom, easy4you app
Eintrag/Korrektur: 28-Jul-2019
Aktiv gemeldet am: 26-Jul-2019"
2664,"- Alpiq E-Mobility AG, Seestrasse 222
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: easy4you app
Eintrag/Korrektur: 03-Jun-2019"
2665,"- swisscharge.ch AG, Hauptstrasse 63
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Aug-2021"
2666,"- swisscharge.ch AG, Hauptstrasse 72
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Feb-2020"
2667,"- Green Motion SA, Weinstrasse 23
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (66.4kW) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 04-Aug-2021"
2668,"- Energie 360Â°, Einkaufszentrum Karussell, Sonnenstrasse 16,  -""https://www.energie360.ch/de/private/umweltschonend-fahren/ladeservice-elektroauto/"", +41-43-317-24-75
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: adhoc per QR Code und Web App, Kreditkarte,"
